Product ID,SKU,Description
1001,TIE-001,Classic silk tie in navy blue with subtle diagonal stripes
1002,TIE-002,Handmade Italian wool tie in dark burgundy
1003,CL-001,Silver cufflinks with mother of pearl inlay
1004,BOW-001,Black silk bow tie perfect for formal events
1005,TIE-003,Striped business tie in grey and blue tones
1006,CL-002,Gold-plated cufflinks with black onyx stone
1007,PSQ-001,Pure silk pocket square with paisley pattern
1008,TIE-004,Slim tie in modern dark green micropattern
1009,CL-003,Modern stainless steel cufflinks with brushed finish
1010,BOW-002,Self-tie burgundy velvet bow tie 