Display Name,Display name - sv,Display name - no,Display name - da,Display name - fi,Display name - de,Display name - pl
Cufflinks Vienna,Manschettknappar Vienna,Mansjettknapper Vienna,Manchetknapper Vienna,Kalvosinnapit Vienna,Manschettenknöpfe Vienna,Spinki do mankietów Vienna
Cufflinks Deluxe,Manschettknappar Deluxe,Mansjettknapper Deluxe,Manchetknapper Deluxe,Kalvosinnapit Deluxe,Manschettenknöpfe Deluxe,Spinki do mankietów Deluxe
Cufflinks champagne,Manschettknappar champagne,Mansjettknapper champagne,Manchetknapper champagne,Kalvosinnapit samppanja,Manschettenknöpfe Champagner,Spinki do mankietów szampan
Cufflinks pheasant,Manschettknappar fasan,Mansjettknapper fasan,Manchetknapper fasan,Kalvosinnapit fasaani,Manschettenknöpfe Fasan,Spinki do mankietów bażant
Cufflinks Bird,Manschettknappar fågel,Mansjettknapper fugl,Manchetknapper fugl,Kalvosinnapit lintu,Manschettenknöpfe Vogel,Spinki do mankietów ptak
Cufflinks Dinosaur,Manschettknappar dinosaurie,Mansjettknapper dinosaur,Manchetknapper dinosaur,Kalvosinnapit dinosaurus,Manschettenknöpfe Dinosaurier,Spinki do mankietów dinozaur
Cufflinks Dakota,Manschettknappar Dakota,Mansjettknapper Dakota,Manchetknapper Dakota,Kalvosinnapit Dakota,Manschettenknöpfe Dakota,Spinki do mankietów Dakota
Cufflinks Trout,Manschettknappar öring,Mansjettknapper ørret,Manchetknapper ørred,Kalvosinnapit taimen,Manschettenknöpfe Forelle,Spinki do mankietów pstrąg
Cufflinks Prestige,Manschettknappar Prestige,Mansjettknapper Prestige,Manchetknapper Prestige,Kalvosinnapit Prestige,Manschettenknöpfe Prestige,Spinki do mankietów Prestige
Cufflinks Windsor,Manschettknappar Windsor,Mansjettknapper Windsor,Manchetknapper Windsor,Kalvosinnapit Windsor,Manschettenknöpfe Windsor,Spinki do mankietów Windsor
Cufflinks Pyramid,Manschettknappar pyramid,Mansjettknapper pyramide,Manchetknapper pyramide,Kalvosinnapit pyramidi,Manschettenknöpfe Pyramide,Spinki do mankietów piramida
Cufflinks Tractor,Manschettknappar traktor,Mansjettknapper traktor,Manchetknapper traktor,Kalvosinnapit traktori,Manschettenknöpfe Traktor,Spinki do mankietów traktor
Cufflinks Monaco,Manschettknappar Monaco,Mansjettknapper Monaco,Manchetknapper Monaco,Kalvosinnapit Monaco,Manschettenknöpfe Monaco,Spinki do mankietów Monaco
Cufflinks Knot,Manschettknappar Knut,Mansjettknapper Knute,Manchetknapper Knude,Kalvosinnapit Solmu,Manschettenknöpfe Knot,Spinki do mankietów Węzeł
Cufflinks Paris,Manschettknappar Paris,Mansjettknapper Paris,Manchetknapper Paris,Kalvosinnapit Paris,Manschettenknöpfe Paris,Spinki do mankietów Paris
Cufflinks Milano,Manschettknappar Milano,Mansjettknapper Milano,Manchetknapper Milano,Kalvosinnapit Milano,Manschettenknöpfe Milano,Spinki do mankietów Milano
Cufflinks gold Geneva,Manschettknappar guld Geneva,Mansjettknapper gull Geneva,Manchetknapper guld Geneva,Kalvosinnapit kulta Geneva,Manschettenknöpfe Gold Geneva,Spinki do mankietów złoto Geneva
Cufflinks silver Geneva,Manschettknappar silver Geneva,Mansjettknapper sølv Geneva,Manchetknapper sølv Geneva,Kalvosinnapit hopea Geneva,Manschettenknöpfe Silber Geneva,Spinki do mankietów srebro Geneva
Cufflinks Ambassador,Manschettknappar Ambassador,Mansjettknapper Ambassador,Manchetknapper Ambassador,Kalvosinnapit Ambassador,Manschettenknöpfe Ambassador,Spinki do mankietów Ambassador
Cufflinks trumpet,Manschettknappar trumpet,Mansjettknapper trompet,Manchetknapper trompet,Kalvosinnapit trumpetti,Manschettenknöpfe Trompete,Spinki do mankietów trąbka
Cufflinks Chancellori,Manschettknappar Chancellori,Mansjettknapper Chancellori,Manchetknapper Chancellori,Kalvosinnapit Chancellori,Manschettenknöpfe Chancellori,Spinki do mankietów Chancellori
Cufflinks silver Versailles,Manschettknappar silver Versailles,Mansjettknapper sølv Versailles,Manchetknapper sølv Versailles,Kalvosinnapit hopea Versailles,Manschettenknöpfe Silber Versailles,Spinki do mankietów srebro Versailles
Cufflinks silver Trento,Manschettknappar silver Trento,Mansjettknapper sølv Trento,Manchetknapper sølv Trento,Kalvosinnapit hopea Trento,Manschettenknöpfe Silber Trento,Spinki do mankietów srebro Trento
Cufflinks gold Luxor,Manschettknappar guld Luxor,Mansjettknapper gull Luxor,Manchetknapper guld Luxor,Kalvosinnapit kulta Luxor,Manschettenknöpfe Gold Luxor,Spinki do mankietów złoto Luxor
Cufflinks for shirt buttons gold,Manschettknappar för skjortknappar guld,Mansjettknapper for skjorteknapper gull,Manchetknapper til skjorteknapper guld,Kalvosinnapit paitanapeille kulta,Manschettenknöpfe für Hemdknöpfe Gold,Spinki do mankietów na guziki do koszuli złoto
Burgundy cufflinks silk knots,Vinröda manschettknappar sidenknutar,Burgunder mansjettknapper silkeknuter,Bordeaux manchetknapper silkeknuder,Burgundin kalvosinnapit silkkisolmut,Burgunder Manschettenknöpfe Seidenknoten,Bordowe spinki do mankietów jedwabne węzły
Cufflinks gold & white enamel,Manschettknappar guld & vit emalj,Mansjettknapper gull & hvit emalje,Manchetknapper guld & hvid emalje,Kalvosinnapit kulta & valkoinen emali,Manschettenknöpfe Gold & weiße Emaille,Spinki do mankietów złoto i biała emalia
Cufflinks Denmark,Manschettknappar Danmark,Mansjettknapper Danmark,Manchetknapper Danmark,Kalvosinnapit Tanska,Manschettenknöpfe Dänemark,Spinki do mankietów Dania
Silver cufflinks & tie clip 6 cm set,Silver slipsnål 6 cm och manschettknappar i set,Sølv mansjettknapper og slipsnål 6 cm,Sølv slipsenål 6 cm og manschettknapper,Hopea solmioneula 6 cm ja kalvosinnapit,Silber Manschettenknöpfe & Krawattennadel 6 cm,Srebrne spinki do mankietów i spinka do krawata 6 cm